category_code,brand,Packaging Material,Shipping Mode,Usage Duration,Repairability Score
accessories.bag,airline,Cardboard,Road,4,7
accessories.bag,arktika,Paper,Road,2,7
accessories.bag,asus,Paper,Air,2,5
accessories.bag,bestway,Paper,Road,2,5
accessories.bag,canon,Plastic,Road,3,5
accessories.bag,continent,Cardboard,Air,3,6
accessories.bag,cullmann,Paper,Road,4,5
accessories.bag,dji,Cardboard,Road,2,6
accessories.bag,ezetil,Cardboard,Road,3,7
accessories.bag,ggg,Paper,Air,4,6
accessories.bag,kingston,Plastic,Air,4,6
accessories.bag,lowepro,Cardboard,Road,4,6
accessories.bag,manfrotto,Plastic,Road,4,7
accessories.bag,moshi,Paper,Road,4,7
accessories.bag,neo,Paper,Road,4,5
accessories.bag,none,Cardboard,Air,4,6
accessories.bag,pgytech,Paper,Road,3,5
accessories.bag,riva,Cardboard,Road,3,7
accessories.bag,rivacase,Paper,Road,3,7
accessories.bag,samsonite,Paper,Air,2,7
accessories.bag,samsung,Cardboard,Air,4,7
accessories.bag,sony,Cardboard,Road,3,6
accessories.bag,sumdex,Paper,Road,4,7
accessories.bag,transcend,Plastic,Road,4,5
accessories.bag,tucano,Plastic,Road,2,5
accessories.bag,wxd,Paper,Road,2,5
accessories.umbrella,art.home,Cardboard,Air,4,7
accessories.umbrella,millet,Paper,Road,3,7
accessories.umbrella,none,Plastic,Air,4,7
apparel.costume,aquael,Paper,Air,1,4
apparel.glove,dji,Plastic,Road,3,4
apparel.glove,mujjo,Plastic,Air,1,2
apparel.glove,nintendo,Paper,Air,2,3
apparel.glove,nvidia,Plastic,Road,1,3
apparel.glove,sibrtekh,Paper,Air,3,3
apparel.glove,sony,Paper,Road,2,2
apparel.glove,xbox,Plastic,Road,1,3
apparel.shirt,ggg,Paper,Road,3,4
apparel.sock,savic,Paper,Road,2,4
apparel.sock,transcend,Cardboard,Air,3,4
apparel.trousers,ggg,Plastic,Road,3,2
apparel.tshirt,ggg,Plastic,Road,1,2
appliances.environment.air_conditioner,ava,Plastic,Road,9,8
appliances.environment.air_conditioner,beko,Thermacol,Sea,12,6
appliances.environment.air_conditioner,compliment,Cardboard,Road,11,7
appliances.environment.air_conditioner,daikin,Cardboard,Sea,11,6
appliances.environment.air_conditioner,insight,Cardboard,Road,8,6
appliances.environment.air_conditioner,kerasys,Plastic,Road,9,6
appliances.environment.air_conditioner,lg,Plastic,Road,9,6
appliances.environment.air_conditioner,midea,Cardboard,Sea,11,5
appliances.environment.air_conditioner,none,Thermacol,Road,9,5
appliances.environment.air_conditioner,samsung,Plastic,Sea,11,7
appliances.environment.air_heater,ava,Cardboard,Road,11,5
appliances.environment.air_heater,bork,Cardboard,Road,11,7
appliances.environment.air_heater,luxell,Thermacol,Sea,8,6
appliances.environment.air_heater,polaris,Cardboard,Road,9,6
appliances.environment.air_heater,resanta,Cardboard,Road,11,6
appliances.environment.air_heater,tefal,Thermacol,Road,8,8
appliances.environment.air_heater,timberk,Plastic,Sea,12,5
appliances.environment.climate,ariston,Thermacol,Road,10,7
appliances.environment.climate,bork,Cardboard,Road,11,5
appliances.environment.climate,lihom,Cardboard,Road,12,7
appliances.environment.climate,philips,Plastic,Sea,11,8
appliances.environment.climate,venta,Cardboard,Road,10,7
appliances.environment.climate,xiaomi,Cardboard,Sea,12,7
appliances.environment.fan,ava,Cardboard,Road,8,7
appliances.environment.fan,bork,Cardboard,Sea,12,6
appliances.environment.fan,neo,Thermacol,Road,9,5
appliances.environment.fan,polaris,Cardboard,Road,8,5
appliances.environment.fan,symphony,Thermacol,Road,9,5
appliances.environment.fan,tefal,Plastic,Road,8,6
appliances.environment.vacuum,airline,Cardboard,Road,11,5
appliances.environment.vacuum,arnica,Cardboard,Sea,12,6
appliances.environment.vacuum,bissell,Plastic,Sea,12,7
appliances.environment.vacuum,bork,Thermacol,Sea,10,6
appliances.environment.vacuum,bosch,Cardboard,Road,8,8
appliances.environment.vacuum,dyson,Cardboard,Road,10,5
appliances.environment.vacuum,elari,Cardboard,Road,9,8
appliances.environment.vacuum,electrolux,Cardboard,Sea,9,7
appliances.environment.vacuum,filtero,Thermacol,Sea,11,8
appliances.environment.vacuum,gutrend,Cardboard,Road,12,7
appliances.environment.vacuum,hyundai,Cardboard,Road,10,5
appliances.environment.vacuum,karcher,Plastic,Sea,9,5
appliances.environment.vacuum,lg,Plastic,Sea,12,5
appliances.environment.vacuum,ozone,Thermacol,Road,12,8
appliances.environment.vacuum,philips,Cardboard,Sea,10,6
appliances.environment.vacuum,polaris,Thermacol,Sea,8,8
appliances.environment.vacuum,redmond,Plastic,Road,8,8
appliances.environment.vacuum,samsung,Thermacol,Sea,9,6
appliances.environment.vacuum,sencor,Thermacol,Sea,10,5
appliances.environment.vacuum,tefal,Thermacol,Road,8,8
appliances.environment.vacuum,thomas,Plastic,Road,9,5
appliances.environment.vacuum,topperr,Cardboard,Sea,12,7
appliances.environment.vacuum,vitek,Cardboard,Sea,8,6
appliances.environment.vacuum,xiaomi,Thermacol,Sea,8,6
appliances.environment.water_heater,aqua,Cardboard,Road,10,8
appliances.environment.water_heater,ariston,Plastic,Sea,8,6
appliances.environment.water_heater,atmor,Cardboard,Sea,11,5
appliances.environment.water_heater,canon,Cardboard,Sea,11,8
appliances.environment.water_heater,etalon,Thermacol,Sea,10,5
appliances.environment.water_heater,garanterm,Cardboard,Sea,12,6
appliances.environment.water_heater,hyundai,Plastic,Road,9,7
appliances.environment.water_heater,midea,Thermacol,Road,11,8
appliances.environment.water_heater,superlux,Thermacol,Road,9,6
appliances.environment.water_heater,thermex,Plastic,Road,9,7
appliances.iron,braun,Paper,Road,4,6
appliances.iron,different,Paper,Road,5,6
appliances.iron,karcher,Plastic,Road,5,5
appliances.iron,laurastar,Plastic,Road,5,5
appliances.iron,maxwell,Cardboard,Road,5,5
appliances.iron,nika,Plastic,Road,4,7
appliances.iron,philips,Cardboard,Sea,3,5
appliances.iron,polaris,Cardboard,Road,4,7
appliances.iron,rowenta,Plastic,Sea,5,7
appliances.iron,scarlett,Cardboard,Road,4,7
appliances.iron,tefal,Cardboard,Sea,3,6
appliances.iron,vitek,Paper,Road,5,7
appliances.ironing_board,braun,Cardboard,Sea,4,5
appliances.ironing_board,delonghi,Cardboard,Road,3,6
appliances.ironing_board,haushalt,Cardboard,Sea,3,6
appliances.ironing_board,nika,Plastic,Road,5,6
appliances.ironing_board,perilla,Plastic,Sea,3,5
appliances.ironing_board,philips,Cardboard,Sea,3,6
appliances.ironing_board,tefal,Paper,Sea,4,7
appliances.kitchen.blender,bork,Thermacol,Sea,7,6
appliances.kitchen.blender,bosch,Cardboard,Road,9,8
appliances.kitchen.blender,braun,Thermacol,Sea,6,6
appliances.kitchen.blender,maxwell,Thermacol,Road,6,6
appliances.kitchen.blender,moulinex,Thermacol,Sea,7,6
appliances.kitchen.blender,neo,Thermacol,Sea,8,7
appliances.kitchen.blender,panasonic,Cardboard,Sea,7,7
appliances.kitchen.blender,philips,Plastic,Sea,8,6
appliances.kitchen.blender,polaris,Cardboard,Sea,6,8
appliances.kitchen.blender,redmond,Plastic,Road,7,6
appliances.kitchen.blender,scarlett,Thermacol,Sea,10,6
appliances.kitchen.blender,sencor,Plastic,Road,7,7
appliances.kitchen.blender,smeg,Plastic,Sea,10,6
appliances.kitchen.blender,vitek,Plastic,Road,10,8
appliances.kitchen.coffee_grinder,ava,Thermacol,Road,6,7
appliances.kitchen.coffee_grinder,bork,Thermacol,Road,9,6
appliances.kitchen.coffee_grinder,bosch,Cardboard,Sea,10,7
